"source_path","source_blob_sha","source_size","target_path","status","note"
"r_toolbox/bootstrap.R","c167b429ac4587bae59d9f7134e74fd3d2fcdb72","5821","migration_sources/cumcm-2026-mmkit-v04/r_toolbox/bootstrap.R","RESUMED_PARTIAL_EXACT","exact untracked file recovered from interrupted migration"
"r_toolbox/io_contract.R","d5288d942c017e6a75f4ce96dcea8abd496882bb","6551","migration_sources/cumcm-2026-mmkit-v04/r_toolbox/io_contract.R","RESUMED_PARTIAL_EXACT","exact untracked file recovered from interrupted migration"
"r_toolbox/ols_smoke.R","5692d2671f8407b489f8e436a8f051b474515cbf","3834","migration_sources/cumcm-2026-mmkit-v04/r_toolbox/ols_smoke.R","RESUMED_PARTIAL_EXACT","exact untracked file recovered from interrupted migration"
"r_toolbox/OUTPUT_CONTRACT.md","7188c35dbb916b2d2b0d4a64726689184e2b0437","2685","migration_sources/cumcm-2026-mmkit-v04/r_toolbox/OUTPUT_CONTRACT.md","RESUMED_PARTIAL_EXACT","exact untracked file recovered from interrupted migration"
"r_toolbox/README.md","a66ababa0b5c1300dd791a1a7e8824e81f2ca567","6604","migration_sources/cumcm-2026-mmkit-v04/r_toolbox/README.md","RESUMED_PARTIAL_EXACT","exact untracked file recovered from interrupted migration"
"r_toolbox/renv/activate.R","b9191f310a3c62fd7210d8800380bdbae02fc8cc","39946","migration_sources/cumcm-2026-mmkit-v04/r_toolbox/renv/activate.R","RESUMED_PARTIAL_EXACT","exact untracked file recovered from interrupted migration"
"r_toolbox/renv/settings.json","28b254fbea4c94ff33b8fadad7e52ea6f3220d9a","498","migration_sources/cumcm-2026-mmkit-v04/r_toolbox/renv/settings.json","RESUMED_PARTIAL_EXACT","exact untracked file recovered from interrupted migration"
"README.md","a196d6af1e587f8c319b4f301252290b222fb112","7651","migration_sources/cumcm-2026-mmkit-v04/README.md","COPIED_EXACT",""
"references/README.md","ecd277592d57175d9ab2f7c7ac5106818fbedbf1","1380","migration_sources/cumcm-2026-mmkit-v04/references/README.md","COPIED_EXACT",""
"references/REFERENCE_LEDGER.csv","1594252b098af3c7c3c4800b6ac9cea8049a65e1","120","migration_sources/cumcm-2026-mmkit-v04/references/REFERENCE_LEDGER.csv","COPIED_EXACT",""
"requirements-win-py313.lock.txt","f812a7dbd7e4a7be976efe10c0c676f50a39813d","696","migration_sources/cumcm-2026-mmkit-v04/requirements-win-py313.lock.txt","COPIED_EXACT",""
"RUNBOOK.md","594b54274be7ca3f981600b84aa2928e136e03e9","7964","migration_sources/cumcm-2026-mmkit-v04/RUNBOOK.md","COPIED_EXACT",""
