"source_path","source_blob_sha","source_size","target_path","status","note"
".gitignore","3685bcd1046168ba92ccf661af10222378a3b613","827","migration_sources/cumcm-2026-mmkit-v04/.gitignore","COPIED_EXACT",""
".github/workflows/v03-smoke.yml","107c61d5f504b84375b3a4dffbc5af1d1d4939df","1800","migration_sources/cumcm-2026-mmkit-v04/.github/workflows/v03-smoke.yml","COPIED_EXACT",""
".github/workflows/v04-governance-smoke.yml","2638024c8843fa0b0e812e8d2c1ece5ca608daa0","3085","migration_sources/cumcm-2026-mmkit-v04/.github/workflows/v04-governance-smoke.yml","COPIED_EXACT",""
"config/workflow.yaml","d8885abd1cf6e91c7096a3aefbf012d43f8b8139","1279","migration_sources/cumcm-2026-mmkit-v04/config/workflow.yaml","COPIED_EXACT",""
"scripts/audit_windows_matlab.ps1","15e6af9ff223aa526eecd96791ee437216af89de","1567","migration_sources/cumcm-2026-mmkit-v04/scripts/audit_windows_matlab.ps1","COPIED_EXACT",""
"scripts/audit_windows_wolfram.ps1","7879a8ae5f731cd14a0020c3e8c475b06315a5e4","3446","migration_sources/cumcm-2026-mmkit-v04/scripts/audit_windows_wolfram.ps1","COPIED_EXACT",""
"scripts/install_wsl.ps1","37d7f39af5aa72a2f49c2b8d5a8430adb8e86f55","5258","migration_sources/cumcm-2026-mmkit-v04/scripts/install_wsl.ps1","COPIED_EXACT",""
"scripts/install_wsl_offline.ps1","f240c39a1f7cea6c79957522346451655ce30f6b","3537","migration_sources/cumcm-2026-mmkit-v04/scripts/install_wsl_offline.ps1","COPIED_EXACT",""
"scripts/log_ai_event.py","2d5f3bd9145d53fb2cfa4584b6acf82da1be04c5","1179","migration_sources/cumcm-2026-mmkit-v04/scripts/log_ai_event.py","COPIED_EXACT",""
"scripts/mathmodels_smoke.R","371fd5bd648a178d2fa57da5210fd3d6f55b5b9d","2872","migration_sources/cumcm-2026-mmkit-v04/scripts/mathmodels_smoke.R","COPIED_EXACT",""
"scripts/matlab_audit.m","cff1ab1d039069cf3d76326736d562e70a63f76a","3430","migration_sources/cumcm-2026-mmkit-v04/scripts/matlab_audit.m","COPIED_EXACT",""
"scripts/python_smoke.py","641f7bf99d17f9c4ecd548a5257511ece9de6b84","3880","migration_sources/cumcm-2026-mmkit-v04/scripts/python_smoke.py","COPIED_EXACT",""
"scripts/setup_mathmodels.ps1","bc922a19e4959db4d0bbf7bff80dfa4001a0b455","6770","migration_sources/cumcm-2026-mmkit-v04/scripts/setup_mathmodels.ps1","COPIED_EXACT",""
"scripts/setup_windows_python.ps1","33a0c9060aca56d369e558e869e3cdf5cda1e842","10877","migration_sources/cumcm-2026-mmkit-v04/scripts/setup_windows_python.ps1","COPIED_EXACT",""
"scripts/setup_windows_r.ps1","957e2363b3c9c25d8dd67990784e9f551c1a0e76","5413","migration_sources/cumcm-2026-mmkit-v04/scripts/setup_windows_r.ps1","COPIED_EXACT",""
"scripts/setup_windows_texlive.ps1","6b37f981565e39e97a4d564c868fd3d72edc8426","6444","migration_sources/cumcm-2026-mmkit-v04/scripts/setup_windows_texlive.ps1","COPIED_EXACT",""
"scripts/smoke_python_r.py","58b3fb70aaaf6e2f063cc7b834f4ef76d03ba2f6","7520","migration_sources/cumcm-2026-mmkit-v04/scripts/smoke_python_r.py","COPIED_EXACT",""
"scripts/tex_smoke.ps1","8d7b123ab7b99a879df9177e8c0b297fe358a694","2457","migration_sources/cumcm-2026-mmkit-v04/scripts/tex_smoke.ps1","COPIED_EXACT",""
"scripts/windows_probe.ps1","08ec127d063da10bf0adea7729c3a599becedfcc","4567","migration_sources/cumcm-2026-mmkit-v04/scripts/windows_probe.ps1","COPIED_EXACT",""
